customer_id,account_id,counterparty_account_id,counterparty_name,counterparty_country,country_risk_level,relationship_status,first_seen_date,kyc_risk_rating,customer_status,total_transaction_amount,transaction_count,relationship_risk_score,relationship_risk_level,relationship_reason
C001,A1001,CP001,TD Canada Trust,CA,LOW,KNOWN,2021-05-10,LOW,ACTIVE,2550.0,2,0,LOW,
C001,A1001,CP889,Unknown Trading LLC,RU,HIGH,,,LOW,ACTIVE,85000.0,1,50,MEDIUM,HIGH_RISK_COUNTRY|UNKNOWN_RELATIONSHIP
C002,A2001,CP200,ABC Supplier Inc,US,LOW,KNOWN,2020-09-01,MEDIUM,ACTIVE,5400.0,1,0,LOW,
C002,A2001,CP777,Global Export Co,IR,HIGH,,,MEDIUM,ACTIVE,67000.0,1,50,MEDIUM,HIGH_RISK_COUNTRY|UNKNOWN_RELATIONSHIP
C002,A2001,CP911,Bad Amount Co,TR,,,,MEDIUM,ACTIVE,,1,10,LOW,UNKNOWN_RELATIONSHIP
C003,A3001,CP300,Self Transfer,CA,LOW,SELF,2022-12-01,HIGH,ACTIVE,800.0,1,40,MEDIUM,HIGH_KYC_RATING
C003,A3001,CP901,Crypto Exchange X,AE,,,,HIGH,ACTIVE,25000.0,1,40,MEDIUM,HIGH_KYC_RATING|UNKNOWN_RELATIONSHIP
C004,A4001,CP400,Rent Payment,CA,LOW,KNOWN,2023-02-01,HIGH,ACTIVE,2200.0,1,30,MEDIUM,HIGH_KYC_RATING
C004,A4001,CP902,,CN,MEDIUM,,,HIGH,ACTIVE,43000.0,1,40,MEDIUM,HIGH_KYC_RATING|UNKNOWN_RELATIONSHIP
C005,A5001,CP500,Local Vendor,CA,LOW,KNOWN,2019-10-01,LOW,DORMANT,900.0,1,20,LOW,DORMANT_CUSTOMER
C005,A5001,CP903,Eastern Trade Co,RU,HIGH,,,LOW,DORMANT,120000.0,1,70,HIGH,HIGH_RISK_COUNTRY|DORMANT_CUSTOMER|UNKNOWN_RELATIONSHIP
C005,A5001,CP912,Duplicate Test,RU,HIGH,,,LOW,DORMANT,240000.0,2,70,HIGH,HIGH_RISK_COUNTRY|DORMANT_CUSTOMER|UNKNOWN_RELATIONSHIP
C006,A6001,CP600,US Supplier,US,LOW,KNOWN,2024-03-01,MEDIUM,ACTIVE,7000.0,1,0,LOW,
C006,A6001,CP904,Temp Account 774,IR,HIGH,,,MEDIUM,ACTIVE,99000.0,1,50,MEDIUM,HIGH_RISK_COUNTRY|UNKNOWN_RELATIONSHIP
C007,A7001,CP700,Savings Account,CA,LOW,SELF,2021-07-01,HIGH,ACTIVE,500.0,1,40,MEDIUM,HIGH_KYC_RATING
C007,A7001,CP905,Offshore Holdings,KY,,,,HIGH,ACTIVE,76000.0,1,40,MEDIUM,HIGH_KYC_RATING|UNKNOWN_RELATIONSHIP
C008,A8001,CP800,Payroll Funding,CA,LOW,KNOWN,2019-01-01,MEDIUM,ACTIVE,3200.0,1,0,LOW,
C008,A8001,CP906,Cash Broker,SY,,,,MEDIUM,ACTIVE,54000.0,1,10,LOW,UNKNOWN_RELATIONSHIP
C009,A9001,CP907,Friend Payment,US,LOW,KNOWN,2020-05-05,LOW,ACTIVE,1000.0,1,0,LOW,
C009,A9001,CP908,New Wallet,AE,,,,LOW,ACTIVE,18000.0,1,10,LOW,UNKNOWN_RELATIONSHIP
C010,A10001,CP909,Family Transfer,CA,LOW,KNOWN,2025-04-15,HIGH,ACTIVE,2000.0,1,30,MEDIUM,HIGH_KYC_RATING
C010,A10001,CP910,No Country Inc,,,,,HIGH,ACTIVE,45000.0,1,40,MEDIUM,HIGH_KYC_RATING|UNKNOWN_RELATIONSHIP
