transaction_id,transaction_timestamp,account_id,customer_id,counterparty_account_id,counterparty_name,counterparty_country,transaction_amount,transaction_type,channel,transaction_category,transaction_subcategory
RT0001,2026-05-01 08:10:00,A1001,C001,CP100,Ali Market,CA,4200,TRANSFER,ONLINE,PAYMENT,DOMESTIC_TRANSFER
RT0002,2026-05-01 13:45:00,A1001,C001,CP101,A. Market,CA,3900,TRANSFER,ONLINE,PAYMENT,DOMESTIC_TRANSFER
RT0003,2026-05-01 20:15:00,A1001,C001,CP102,Ali Mkt,CA,3100,TRANSFER,ONLINE,PAYMENT,DOMESTIC_TRANSFER
RT0004,2026-05-02 09:20:00,A2001,C002,CP200,Global Wire HK,HK,25000,WIRE,ONLINE,TRANSFER,INTERNATIONAL_WIRE
RT0005,2026-05-02 09:55:00,A2001,C002,CP201,Global Wire H.K.,HK,27000,WIRE,ONLINE,TRANSFER,INTERNATIONAL_WIRE
RT0006,2026-05-03 10:05:00,A3001,C003,CP300,John Transfer,CA,4800,TRANSFER,MOBILE,PAYMENT,PERSONAL_TRANSFER
RT0007,2026-05-03 17:30:00,A3001,C003,CP301,J. Transfer,CA,4700,TRANSFER,MOBILE,PAYMENT,PERSONAL_TRANSFER
RT0008,2026-05-03 23:40:00,A3001,C003,CP302,Johnny Transfer,CA,1200,TRANSFER,MOBILE,PAYMENT,PERSONAL_TRANSFER
RT0009,2026-05-04 11:00:00,A4001,C004,CP400,Crypto Max,AE,15000,WIRE,CRYPTO,TRANSFER,CRYPTO_RELATED
RT0010,2026-05-04 11:10:00,A4001,C004,CP401,CryptoMax,AE,18000,WIRE,CRYPTO,TRANSFER,CRYPTO_RELATED
